"Data Source","World Development Indicators",

"Last Updated Date","2021-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Bermuda","BMU","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","557000","570000","562000","558000","549000","539000","458000","484000","483000","478000","517000","635000","660000","550000","554000","580000","652000","610000","576000","580000","597000","642000","688000","766000","805000","",
"Bolivia","BOL","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","284000","313000","355000","387000","342000","319000","316000","334000","427000","480000","524000","521000","573000","594000","599000","679000","711000","798000","798000","871000","882000","961000","1109000","1142000","1239000","",
"Brazil","BRA","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1991000","2666000","2850000","4818000","5107000","5313000","4773000","3785000","4133000","4794000","5358000","5017000","5026000","5050000","4802000","5161000","5433000","5677000","5813000","6430000","6306000","6547000","6589000","6621000","6353000","",
"Barbados","BRB","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","927000","957000","990000","1019000","947000","1078000","1035000","1021000","1090000","1273000","1111000","1102000","1191000","1165000","1154000","1197000","1187000","1053000","1079000","1079000","1179000","1227000","1345000","1356000","966000","",
"Brunei Darussalam","BRN","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","119000","126000","158000","179000","226000","157000","214000","242000","209000","225000","201000","218000","219000","259000","278000","333000","",
"Bhutan","BTN","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4800.00019073486","5199.99980926514","5400.00009536743","6199.99980926514","7199.99980926514","7599.99990463257","6400.00009536743","5599.99990463257","6300.00019073486","9199.99980926514","13600.0003814697","17299.9992370605","21000","28000","23000","41000","66000","105000","116000","133000","155000","210000","255000","274000","316000","",
"Botswana","BWA","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","636000","656000","765000","940000","1039000","1306000","1451000","1485000","1592000","1727000","1684000","1642000","1965000","2344000","","","","","","","1660000","1712000","1775000","1830000","","",
"Central African Republic","CAF","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26000","21000","17000","7500","10000","11199.9998092651","9899.99961853027","2900.00009536743","5699.99980926514","8199.99980926514","12000","13800.0001907349","17100.0003814697","30600.0003814697","52400.0015258789","53799.9992370605","65400.0015258789","70800.0030517578","83500","95699.9969482422","120500","82000","107000","109000","","",
"Canada","CAN","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41657000","43256000","45076000","48064000","49055000","48638000","47147000","44896000","38903000","38845000","36160000","33390000","30373000","27370000","24696000","25621000","25066000","25318000","25167000","25558000","27555000","30142000","31081000","31274000","32430000","",
"Central Europe and the Baltics","CEB","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","188652644.870749","199135866.285172","203579243.99372","200151256.841019","200062962.010076","206946379.303475","182538824.414625","173510081.363983","177955845.419315","200553517.555216","208136165.233864","215062885.918177","222544621.751542","217002009.902587","205767642.373582","211503443.345688","219665361.603973","230513827.817575","239484451.83792","247176982.109666","265484205.126514","282858334.211699","293799709.735875","301502122.473578","314638365.070248","",
"Switzerland","CHE","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6946000","6730000","7039000","7185000","7154000","7821000","7455000","6868000","6530000","","7229000","7863000","8448000","8608000","8294000","8628000","8534000","8566000","8967000","9158000","9305000","10402000","11133000","11715000","11818000","",
"Channel Islands","CHI","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3713000","3657000","3584000","3963000","4397000","4457000","4601000","5487000","6712000","7621000","6603000","5431000","",
"China","CHN","International tourism, number of arrivals","ST.INT.ARVL","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46387000","51128000","57588000","63478000","72796000","83444000","89013000","97908000","91662000","109038000","120292000","124942000","131873000","130027000","126476000","133762000","135423000","132405000","129078000","128499000","133820000","141774000","153260000","158606000","162538000","",
